Frequency,Gain,Phase,OffsetReal,OffsetImaginary
4761.904785,1.2591725972671957,18.242499618579647,0.0009352607096887674,0.0031247981921406222
3030.303223,1.112451846090501,15.9050305971341,0.0006298564971116087,0.002250913951983154
1960.784424,1.040492307104449,11.46311302852481,0.00034262053148415543,0.0015854635508573257
1234.567871,1.0030588996409695,7.616017686743231,0.0001667976831862937,0.0010596053484006884
793.650818,0.9856679231918041,5.071005735996781,8.317782428424273e-05,0.0007063021982571296
497.512451,0.9764802893900927,3.305825239453454,4.113992248280282e-05,0.00045323476669978775
314.465424,0.9718610456181876,2.2006211948668235,2.1922012698620043e-05,0.00029013298272296265
199.6008,0.9693904469073031,1.5036754673052073,1.2776804991643566e-05,0.0001850939553731086
125.786171,0.9679807155465611,1.0549462001297987,8.155936122456305e-06,0.00011647680610452046
79.176567,0.9671632110819697,0.771391143431195,5.762177015876642e-06,7.269352891347528e-05
49.975014,0.9666799285356038,0.593691790781288,4.473619422151822e-06,4.508163429436655e-05
31.535795,0.9663862868075326,0.4814735449211087,3.7448749794241165e-06,2.75740004083087e-05
19.900499,0.9662056024257766,0.41066083844031764,3.3191349588777414e-06,1.6497695278817336e-05
12.559659,0.9660934439014254,0.36598400619284244,3.0641773473570273e-06,9.498023545252244e-06
